libelle_evenements,grande_categorie,code_categorie,Adresse,Numéro,categorie_nom,Nom de la structure,Code Postal,Ville,Lat,Lng,sous_categorie,refugie,asile,Sexe,family,Langues.1,Langues.2,Langues.3,code
 Restauration assise,alimentation,602,"4 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",3792,,Notre Dame de Paris,75004,Paris,2.350971100000038,48.85257349999999,Restauration assise,False,False,mixte,False,français,,,75
 Restauration assise,alimentation,602,"40 Rue Saint-Bernard, 75011 Paris, France",3797,,Sainte-Marguerite,75011,Paris,2.380785699999933,48.8531928,Restauration assise,False,False,mixte,False,français,,,75
 Bibliothèque,activites,803,"1 Allée Peixotto, 33400 Talence, France",4759,,Médiathèque Castagnéra de Talence,33400,Talence,-0.5898750000000064,44.807376,"Bibliothèque, Ordinateur",False,False,mixte,False,français,,,33
 Activités,activites,804,"1 Chemin du Moulin Basset, Saint-Denis, France",3325,,La Maison des Femmes de Saint-Denis,93200,Saint-Denis,2.3727437999999665,48.9350603,"Accompagnement social, Suivi grossesse, Généraliste, Gynécologie, Dépistage, Infirmerie, Psychologie, Conseil logement, Permanence juridique, Conseil administratif, Bien-être, Activités",True,True,femme,True,français, anglais, arabe,93
 Bibliothèque,activites,803,"1 Cours du Général de Gaulle, Gradignan, France",4785,,Centre de Documentation de Bordeaux Sciences Agro,33170,Gradignan,-0.6053213000000142,44.7905263,"Bibliothèque, Ordinateur",True,True,mixte,True,français,,,33
 Musée,activites,802,"1 Place de la Bourse, Bordeaux, France",4726,,Musée national des douanes,33000,Bordeaux,-0.5699801000000662,44.8408346,Musée,True,True,mixte,True,français,,,33
 Bibliothèque,activites,803,"1 Rue Bordier, Aubervilliers, France",5197,,Médiathèque André Breton,93300,Aubervilliers,2.385886199999959,48.9024729,"Bibliothèque, Ordinateur, Ecrivain public",True,True,mixte,False,français,,,93
 Musée,activites,802,"1 Rue de la Légion d'Honneur, 93200 Saint-Denis, France",4746,,Basilique de Saint-Denis,93200,Saint-Denis,2.3584074999999984,48.9347768,Musée,False,False,mixte,True,français,,,93
 Bibliothèque,activites,803,"1 Rue Reynaldo Hahn, Paris, France",4942,,Bibliothèque Assia Djebar,75020,Paris,2.412011600000028,48.8492765,"Bibliothèque, Wifi, Prise, Ordinateur, Toilettes, Permanence juridique, Formation français, Permanence juridique, Activités, Atelier numérique",True,True,mixte,True,français,,,75
 Bibliothèque,activites,803,"1 TER Rue Mechin, L'Île-Saint-Denis, France",4719,,Médiathèque Elsa Triolet,93450,L'Île-Saint-Denis,2.339450100000022,48.935693,"Bibliothèque, Ordinateur",False,False,mixte,True,français,,,93
 Bibliothèque,activites,803,"10 Rue Paul Verlaine, Noisy-le-Sec, France",5827,,Médiathèque Ludothèque du Londeau,93130,Noisy-le-Sec,2.4684108999999808,48.8863855,"Bibliothèque, Ordinateur",False,False,mixte,False,français,,,93
 Bibliothèque,activites,803,"10 Rue Valette, Montreuil, France",5818,,Bibliothèque de quartier Paul Éluard,93100,Montreuil,2.4213237000000163,48.854729,"Bibliothèque, Ordinateur, Wifi, Formation français",True,True,mixte,True,français,,,93
 Activités,activites,804,"100 Allée de l'Aqueduc Saint-Fiacre, 93220 Gagny, France",2951,,Centre Socioculturel des Hauts de Gagny,93220,Gagny,2.532442299999957,48.8901961,"Formation français, Accompagnement social, Activités, Ecrivain public, Soutien scolaire",False,False,mixte,True,français,,,93
 Conseil logement,conseil,401,"101 quai Branly, 75015 Paris",342,,Point d'accès aux droits (PAD) Jeunes - CIDJ,75015,Paris,2.2895245,48.8547709,"Conseil administratif, Conseil logement, Permanence juridique, Permanence juridique, Permanence juridique, Permanence juridique, Permanence juridique",True,True,mixte,False,français,,,75
 Permanence juridique,conseil,402,"101 quai Branly, 75015 Paris",342,,Point d'accès aux droits (PAD) Jeunes - CIDJ,75015,Paris,2.2895245,48.8547709,"Conseil administratif, Conseil logement, Permanence juridique, Permanence juridique, Permanence juridique, Permanence juridique, Permanence juridique",True,True,mixte,False,français,,,75
 Bibliothèque,activites,803,"10-12 Place des Capucins, 33800 Bordeaux, France",4796,,Bibliothèque Capucins / Saint Michel,33800,Bordeaux,-0.5669970999999805,44.83073519999999,"Bibliothèque, Ordinateur, Atelier numérique, Ecrivain public",True,True,mixte,True,français,,,33
 Addiction,sante,101,"103 rue La-Fayette, 75010 Paris",335,,Établissement ADN (Amicale du Nid) Paris,75010,Paris,2.3500418,48.877977,"Accompagnement à l'emploi, Accompagnement social, Permanence juridique, Conseil logement, Dépistage, Activités, Addiction, Domiciliation",True,True,mixte,False,français,,,75
 Bibliothèque,activites,803,"109 Boulevard Mortier, Paris, France",4940,,Bibliothèque Mortier,75020,Paris,2.408425999999963,48.87159029999999,"Bibliothèque, Wifi, Prise, Ordinateur",True,True,mixte,True,français,,,75
 Bibliothèque,activites,803,"10b Route de Germignan, 33160 Saint-Aubin-de-Médoc, France",4772,,Culture et bibliothèques pour tous Saint-Aubin de Médoc,33160,Saint-Aubin-de-Médoc,-0.7206241000000091,44.91174819999999,Bibliothèque,True,True,mixte,True,français,,,33
 Bibliothèque,activites,803,"11 Avenue Pierre Curie, 33270 Floirac, France",4787,,M270 / Maisons des savoirs partagés de Floirac,33270,Floirac,-0.5314921000000368,44.8364713,"Bibliothèque, Ordinateur",True,True,mixte,True,français,,,33
 Musée,activites,802,"110-112 Avenue Jean Jaurès, 93700 Drancy, France",4736,,Mémorial de la Shoah de Drancy,93700,Drancy,2.4532497999999805,48.9189893,Musée,False,False,mixte,True,français,,,93
 Formation français,formation-emploi,202,"113 Rue Regnault, 75013 Paris, France",25,,ESI l'Arche d'Avenirs,75013,Paris,2.367905800000017,48.82262419999999,"Douche, Bagagerie, Conseil administratif, Accueil de jour, Toilettes, Laverie, Activités, Formation français, Psychologie, Espaces de repos, Activités",True,True,mixte,False,anglais, espanol, roumain,75
 Psychologie,sante,103,"113 Rue Regnault, 75013 Paris, France",25,,ESI l'Arche d'Avenirs,75013,Paris,2.367905800000017,48.82262419999999,"Douche, Bagagerie, Conseil administratif, Accueil de jour, Toilettes, Laverie, Activités, Formation français, Psychologie, Espaces de repos, Activités",True,True,mixte,False,anglais, espanol, roumain,75
