villes,Somme de nb_recherches_2023
Ambarès-et-Lagrave,288
Ambès,47
Andernos-les-Bains,150
Arcachon,321
Arès,37
Artigues-près-Bordeaux,214
Audenge,77
Bassens,182
Bazas,102
Bègles,1484
Belin-Béliet,38
Beychac-et-Caillau,20
Biganos,151
Blanquefort,520
Blaye,568
Bordeaux,97856
Bouliac,48
Bourg,39
Branne,42
Bruges,676
Cadillac,110
Canéjan,21
Capian,44
Carbon-Blanc,32
Cars,153
Castelnau-de-Médoc,85
Castillon-la-Bataille,72
Cénac,46
Cenon,229
Cestas,176
Coutras,99
Créon,85
Eynesse,26
Eysines,2306
Fargues,58
Fargues-Saint-Hilaire,84
Floirac,1469
Gauriaguet,20
Gradignan,560
Grignols,26
Guîtres,35
Gujan-Mestras,203
Hourtin,47
La Brède,20
La Lande-de-Fronsac,26
La Réole,156
La Teste-de-Buch,387
Lacanau,20
Lagorce,64
Langoiran,91
Langon,277
Lanton,222
Lapouyade,36
Le Barp,17
Le Bouscat,709
Le Haillan,233
Le Pian-Médoc,36
Le Teich,92
Le Verdon-sur-Mer,22
Léognan,52
Les Billaux,22
Lesparre-Médoc,204
Lestiac-sur-Garonne,26
Libourne,1581
Lormont,2099
Ludon-Médoc,69
Marcheprime,44
Martignas-sur-Jalle,21
Mérignac,2983
Mios,19
Monségur,75
Néac,121
Origne,20
Parempuyre,56
Pauillac,77
Pessac,2566
Pineuilh,70
Pompignac,21
Saint-André-de-Cubzac,289
Saint-Aubin-de-Médoc,26
Saint-Ciers-sur-Gironde,68
Saint-Denis-de-Pile,32
Sainte-Eulalie,89
Sainte-Foy-la-Grande,81
Saint-Jean-d'Illac,62
Saint-Laurent-Médoc,56
Saint-Loubès,47
Saint-Médard-en-Jalles,447
Saint-Savin,42
Saint-Seurin-sur-l'Isle,36
Saint-Symphorien,70
Saint-Vivien-de-Médoc,68
Salaunes,38
Salles,24
Soulac-sur-Mer,105
Talence,2767
Toulenne,26
Tresses,159
Vayres,22
Villenave-d'Ornon,1159
