villes,nb_recherches_2023
Bordeaux,97856
Mérignac,2983
Talence,2767
Pessac,2566
Eysines,2306
Cenon,229
Lormont,2099
Libourne,1581
Bègles,1484
Floirac,1469
Villenave-d'Ornon,1159
Le Bouscat,7090
Bruges,6760
Blaye,5680
Gradignan,5600
Blanquefort,5200
Saint-Médard-en-Jalles,4470
La Teste-de-Buch,3870
Arcachon,3210
Saint-André-de-Cubzac,2890
Ambarès-et-Lagrave,2880
Langon,2770
Le Haillan,2330
Lanton,2220
Artigues-près-Bordeaux,2140
Lesparre-Médoc,2040
Gujan-Mestras,2030
Bassens,1820
Cestas,1760
Tresses,1590
La Réole,1560
Cars,1530
Biganos,1510
Andernos-les-Bains,1500
Néac,1210
Cadillac,1100
Soulac-sur-Mer,1050
Bazas,1020
Coutras,990
Le Teich,920
Langoiran,910
Sainte-Eulalie,890
Créon,850
Castelnau-de-Médoc,850
Fargues-Saint-Hilaire,840
Sainte-Foy-la-Grande,810
Audenge,770
Pauillac,770
Monségur,750
Castillon-la-Bataille,720
Saint-Symphorien,700
Pineuilh,700
Ludon-Médoc,690
Saint-Ciers-sur-Gironde,680
Saint-Vivien-de-Médoc,680
Lagorce,640
Saint-Jean-d'Illac,620
Fargues,580
Parempuyre,560
Saint-Laurent-Médoc,560
Léognan,520
Bouliac,480
Ambès,470
Hourtin,470
Saint-Loubès,470
Cénac,460
Capian,440
Marcheprime,440
Saint-Savin,420
Branne,420
Bourg,390
Belin-Béliet,380
Salaunes,380
Arès,370
Lapouyade,360
Saint-Seurin-sur-l'Isle,360
Le Pian-Médoc,360
Guîtres,350
Carbon-Blanc,320
Saint-Denis-de-Pile,320
Grignols,260
Toulenne,260
La Lande-de-Fronsac,260
Saint-Aubin-de-Médoc,260
Lestiac-sur-Garonne,260
Eynesse,260
Salles,240
Les Billaux,220
Le Verdon-sur-Mer,220
Vayres,220
Martignas-sur-Jalle,210
Canéjan,210
Pompignac,210
Beychac-et-Caillau,200
Origne,200
Gauriaguet,200
Lacanau,200
La Brède,200
Mios,190
Le Barp,170
